date,season1_03,season1_05,season1_07,season1_10,season1_12,season2_03,season2_05,season2_07,season2_10,season2_12,report_year,report_week,report_week_total_calls,sin_report_week,cos_report_week,calls_month_1_away,calls_month_2_away,calls_month_3_away,calls_month_4_away,calls_month_5_away,calls_month_6_away,calls_month_7_away,calls_month_8_away,season1_03_divergence,season1_05_divergence,season1_07_divergence,season1_10_divergence,season1_12_divergence,season2_03_divergence,season2_05_divergence,season2_07_divergence,season2_10_divergence,season2_12_divergence,price,value_delta_mean_30_forward,value_delta_max_30_forward,pct_delta_mean_30_forward,pct_delta_max_30_forward,mean_rise_30_forward,max_rise_30_forward,value_delta_mean_15_forward,value_delta_max_15_forward,pct_delta_mean_15_forward,pct_delta_max_15_forward,mean_rise_15_forward,max_rise_15_forward,value_delta_mean_7_forward,value_delta_max_7_forward,pct_delta_mean_7_forward,pct_delta_max_7_forward,mean_rise_7_forward,max_rise_7_forward,report_month
2005-04-08,,5616.0,13731.0,5028.0,9066.0,5513.0,3025.0,4176.0,533.0,,2005,15,46688,0.992708874098054,-0.12053668025532288,5616.0,13731.0,5028.0,9066.0,5513.0,3025.0,4176.0,533.0,,-1008.95652173913,-10389.130434782608,3595.2608695652175,-8415.260869565216,-2505.541666666667,-726.5,-1045.125,248.35714285714283,,55.5,0.13666666666667027,2.200000000000003,0.0024624624624625113,0.03963963963963968,1.0,1.0,0.3466666666666711,2.1000000000000014,0.0062462462462462565,0.037837837837837895,1.0,1.0,-0.15714285714285836,0.25,-0.0028314028314028183,0.0045045045045044585,0.0,1.0,4
2005-04-15,,4672.0,13125.0,5039.0,9601.0,5892.0,3285.0,4503.0,740.0,,2005,16,46857,0.9709418174260521,-0.2393156642875575,4672.0,13125.0,5039.0,9601.0,5892.0,3285.0,4503.0,740.0,,1806.6521739130435,-11530.91304347826,3619.782608695652,-8399.130434782608,-2380.375,-617.9166666666665,-1056.541666666667,428.26666666666665,,54.95,0.37666666666667226,2.75,0.006854716408856598,0.05004549590536844,1.0,1.0,1.1566666666666663,2.75,0.021049438883833815,0.05004549590536844,1.0,1.0,0.4571428571428555,0.7999999999999972,0.008319251267385974,0.014558689717925288,1.0,1.0,4
2005-04-22,,648.0,14203.0,5193.0,9900.0,6060.0,3285.0,4548.0,740.0,,2005,17,44577,0.9350162426854148,-0.35460488704253545,648.0,14203.0,5193.0,9900.0,6060.0,3285.0,4548.0,740.0,,384.60869565217394,-10584.17391304348,3763.913043478261,-8660.434782608696,-2551.666666666666,-762.6666666666665,-1312.916666666667,410.06666666666666,,55.75,-0.8133333333333255,1.9500000000000028,-0.014588938714499067,0.034977578475336335,0.0,1.0,0.47000000000000597,1.9500000000000028,0.008430493273542616,0.034977578475336335,1.0,1.0,1.221428571428575,1.9500000000000028,0.02190903267136468,0.034977578475336335,1.0,1.0,4
2005-04-29,,286.0,14506.0,5538.0,10484.0,6351.0,3423.0,4691.0,874.0,,2005,18,46153,0.8854560256532099,-0.4647231720437685,286.0,14506.0,5538.0,10484.0,6351.0,3423.0,4691.0,874.0,,154.30434782608697,-8679.17391304348,4156.782608695652,-8786.043478260868,-2710.625,-942.958333333333,-1751.958333333333,497.0,,57.7,-3.575000000000003,0.0,-0.06195840554592724,0.0,0.0,0.0,-2.2733333333333405,0.0,-0.03939919121894875,0.0,0.0,0.0,-1.7000000000000028,0.0,-0.029462738301559876,0.0,0.0,0.0,4
2005-05-06,,210.0,12656.0,5467.0,10633.0,7174.0,3919.0,5548.0,1074.0,,2005,19,46681,0.8229838658936565,-0.5680647467311557,210.0,12656.0,5467.0,10633.0,7174.0,3919.0,5548.0,1074.0,,195.76190476190476,-8222.478260869564,4159.869565217391,-9107.652173913044,-2503.208333333334,-726.083333333333,-1292.458333333333,623.9285714285714,,55.1,-1.6416666666666657,1.1000000000000014,-0.02979431336963101,0.019963702359346636,0.0,1.0,-0.46000000000000085,1.1000000000000014,-0.008348457350272231,0.019963702359346636,0.0,1.0,0.3499999999999943,1.1000000000000014,0.006352087114337435,0.019963702359346636,1.0,1.0,5
2005-05-13,,0.0,12032.0,5498.0,11335.0,7366.0,3997.0,5604.0,1153.0,,2005,20,46985,0.7485107481711013,-0.6631226582407951,0.0,12032.0,5498.0,11335.0,7366.0,3997.0,5604.0,1153.0,,0.0,-6852.695652173912,4190.217391304348,-9269.17391304348,-2890.333333333334,-924.875,-1652.416666666667,669.2857142857142,,55.3,-2.3049999999999926,0.0,-0.041681735985533375,0.0,0.0,0.0,-1.4799999999999898,0.0,-0.026763110307413962,0.0,0.0,0.0,-0.9000000000000057,0.0,-0.01627486437613035,0.0,0.0,0.0,5
2005-05-20,,,8646.0,5374.0,11242.0,7424.0,4160.0,5654.0,1215.0,2112.0,2005,21,45827,0.6631226582407952,-0.7485107481711012,8646.0,5374.0,11242.0,7424.0,4160.0,5654.0,1215.0,2112.0,,,-7596.347826086956,4055.826086956522,-10187.565217391304,-3300.5,-1008.291666666667,-1973.708333333333,603.0,-1011.5652173913045,53.6,-0.6350000000000051,1.5499999999999972,-0.011847014925373212,0.02891791044776104,0.0,1.0,-0.6466666666666612,0.10000000000000142,-0.012064676616915349,0.001865671641791078,0.0,1.0,0.04285714285714448,0.10000000000000142,0.0007995735607675414,0.001865671641791078,1.0,1.0,5
2005-05-27,,,7636.0,5309.0,11157.0,7536.0,4172.0,5659.0,1215.0,2113.0,2005,22,44797,0.5680647467311558,-0.8229838658936564,7636.0,5309.0,11157.0,7536.0,4172.0,5659.0,1215.0,2113.0,,,-6471.304347826086,4014.826086956522,-10790.782608695652,-3509.25,-1229.791666666667,-2211.625,573.0,-1155.1666666666665,53.7,-0.44666666666667254,2.1499999999999986,-0.008317815021725794,0.04003724394785846,0.0,1.0,-1.4233333333333391,0.0,-0.026505276225946672,0.0,0.0,0.0,-0.7285714285714278,0.0,-0.013567438148443745,0.0,0.0,0.0,5
2005-06-03,,,4383.0,4412.0,9705.0,7112.0,3815.0,5325.0,1233.0,2112.0,2005,23,38097,0.46472317204376906,-0.8854560256532096,4383.0,4412.0,9705.0,7112.0,3815.0,5325.0,1233.0,2112.0,,,-6050.478260869566,3195.0,-13546.478260869564,-4386.916666666666,-1923.583333333333,-3179.75,545.6153846153846,-1264.6666666666665,52.8,0.5150000000000077,3.0500000000000043,0.009753787878788112,0.0577651515151516,1.0,1.0,-0.663333333333334,0.45000000000000284,-0.01256313131313136,0.008522727272727293,0.0,1.0,-0.6499999999999986,0.0,-0.012310606060606077,0.0,0.0,0.0,6
2005-06-10,,,3678.0,4198.0,9418.0,6885.0,4230.0,6391.0,1232.0,2245.0,2005,24,38277,0.35460488704253584,-0.9350162426854147,3678.0,4198.0,9418.0,6885.0,4230.0,6391.0,1232.0,2245.0,,,-3470.954545454545,2949.0,-14667.636363636364,-5198.869565217392,-1854.652173913043,-2918.304347826086,520.0769230769231,-1441.6521739130435,51.3,1.8950000000000031,4.550000000000004,0.036939571150097494,0.08869395711500982,1.0,1.0,1.4200000000000088,3.450000000000003,0.027680311890838416,0.06725146198830423,1.0,1.0,0.2857142857142918,0.6000000000000014,0.005569479253690002,0.011695906432748648,1.0,1.0,6
