open_time,close_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,price,ticker
1712955600000,1712956499999,67119.99,67128.64,66781.86,66856.03,548.25806,36665960.05539410,21287,67119.99,BTCUSDT
1712956500000,1712957399999,66856.04,66990.0,66731.76,66895.26,457.89038,30618905.90501130,17892,66856.04,BTCUSDT
1712957400000,1712958299999,66895.26,66895.26,66680.84,66781.73,388.09237,25913252.62491210,16392,66895.26,BTCUSDT
1712958300000,1712959199999,66781.72,66979.4,66781.04,66960.01,237.82848,15907276.09572170,13425,66781.72,BTCUSDT
1712959200000,1712960099999,66960.0,67153.85,66828.01,67121.8,373.97587,25045955.84914560,19630,66960.0,BTCUSDT
1712960100000,1712960999999,67121.79,67270.53,67077.19,67077.2,396.4176,26622138.55475440,18387,67121.79,BTCUSDT
1712961000000,1712961899999,67077.2,67129.04,66986.48,67015.99,264.41061,17730874.35333690,13219,67077.2,BTCUSDT
1712961900000,1712962799999,67015.99,67053.34,66923.07,67053.33,266.93188,17876705.17784770,13406,67015.99,BTCUSDT
1712962800000,1712963699999,67053.33,67057.0,66818.12,66900.3,326.154,21819707.51767340,19539,67053.33,BTCUSDT
1712963700000,1712964599999,66900.3,66993.92,66812.0,66974.23,321.98652,21537414.50840460,18232,66900.3,BTCUSDT
1712964600000,1712965499999,66974.22,67150.0,66931.99,67111.65,364.78231,24458283.08601150,18322,66974.22,BTCUSDT
1712965500000,1712966399999,67111.65,67230.19,67080.0,67116.52,316.6011,21262751.82995070,16556,67111.65,BTCUSDT
1712966400000,1712967299999,67116.52,67142.86,66935.48,66945.47,456.31801,30591825.37388490,22881,67116.52,BTCUSDT
1712967300000,1712968199999,66945.47,67033.33,66900.0,67033.32,250.06035,16740168.31209550,16048,66945.47,BTCUSDT
1712968200000,1712969099999,67033.33,67090.9,66750.0,66788.25,278.02295,18599797.57606040,20412,67033.33,BTCUSDT
1712969100000,1712969999999,66788.24,66939.13,66737.64,66913.27,328.96989,21989206.59860880,19623,66788.24,BTCUSDT
1712970000000,1712970899999,66913.27,66928.0,66401.81,66501.82,738.47284,49248154.26315030,36404,66913.27,BTCUSDT
1712970900000,1712971799999,66501.81,66664.05,66452.0,66561.13,433.2242,28830824.93660000,23909,66501.81,BTCUSDT
1712971800000,1712972699999,66561.13,66561.13,66133.33,66272.56,721.77883,47839254.00282040,39213,66561.13,BTCUSDT
1712972700000,1712973599999,66272.56,66303.99,65731.27,65886.63,1211.93014,79956514.24229950,53250,66272.56,BTCUSDT
1712973600000,1712974499999,65886.64,66432.0,65871.49,66412.02,658.66088,43605576.89469300,41995,65886.64,BTCUSDT
1712974500000,1712975399999,66412.02,66541.32,66263.73,66526.67,451.86527,30008898.18673580,32772,66412.02,BTCUSDT
1712975400000,1712976299999,66526.67,66593.41,66308.0,66533.4,411.18125,27318393.28093940,30285,66526.67,BTCUSDT
1712976300000,1712977199999,66533.39,66572.0,66418.77,66535.99,334.10993,22218402.20887880,20291,66533.39,BTCUSDT
1712977200000,1712978099999,66536.0,66734.96,66483.87,66530.76,385.66305,25679595.49979650,30461,66536.0,BTCUSDT
1712978100000,1712978999999,66530.77,66777.77,66512.0,66777.77,324.02388,21606255.60318820,30987,66530.77,BTCUSDT
1712979000000,1712979899999,66777.76,67009.46,66734.63,66973.3,431.33345,28859011.21589140,26223,66777.76,BTCUSDT
1712979900000,1712980799999,66973.29,67168.0,66907.45,67160.55,331.44064,22219920.20687670,18556,66973.29,BTCUSDT
1712980800000,1712981699999,67160.55,67246.95,67012.67,67241.57,400.32205,26874804.48799510,20396,67160.55,BTCUSDT
1712981700000,1712982599999,67241.57,67383.6,67119.0,67383.6,422.18381,28402862.88079830,27402,67241.57,BTCUSDT
1712982600000,1712983499999,67383.59,67744.94,67295.6,67706.66,668.18884,45104238.31946230,38460,67383.59,BTCUSDT
1712983500000,1712984399999,67706.66,67929.0,67535.79,67587.62,683.27161,46305149.94383120,39450,67706.66,BTCUSDT
1712984400000,1712985299999,67587.63,67907.84,67578.01,67741.55,838.00342,56823433.51049240,31423,67587.63,BTCUSDT
1712985300000,1712986199999,67741.55,67748.0,67611.98,67669.45,240.96153,16307855.60389340,14584,67741.55,BTCUSDT
1712986200000,1712987099999,67669.44,67669.45,67392.81,67535.05,479.59072,32364456.65459690,33851,67669.44,BTCUSDT
